,expression,annotation,embedding,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9,similarity_10,similarity_11,similarity_12,similarity_13,similarity_14,similarity_15,similarity_16,similarity_17,similarity_18,similarity_19,similarity_20,similarity_21,similarity_22,similarity_23,similarity_24,similarity_25,similarity_26,similarity_27,similarity_28,similarity_29,similarity_30,similarity_31,similarity_32,similarity_33,similarity_34,similarity_35,similarity_36,similarity_37,similarity_38,similarity_39,similarity_40,similarity_41,similarity_42,similarity_43,similarity_44,similarity_45,similarity_46,similarity_47,similarity_48,similarity_49,similarity_50,similarity_51,similarity_52,similarity_53,similarity_54,similarity_55,similarity_56,similarity_57,similarity_58,similarity_59,similarity_60,similarity_61,similarity_62,similarity_63,similarity_64,similarity_65,similarity_66,similarity_67,similarity_68,similarity_69,similarity_70,similarity_71,similarity_72,similarity_73,similarity_74,similarity_75,similarity_76,similarity_77,similarity_78,similarity_79,similarity_80,similarity_81,similarity_82,similarity_83,similarity_84,similarity_85,similarity_86,similarity_87,similarity_88,similarity_89,similarity_90,similarity_91,similarity_92,similarity_93,similarity_94,similarity_95,similarity_96,similarity_97,similarity_98
0,查询天气预报及穿衣指数,"不完整目标理解,特定语义功能,自主寻找,信息获取,信息处理,信息存储与提取","[ 0.0016351  -0.00715941  0.00955767 ...  0.00589661 -0.00877948
 -0.01712033]",1.0,0.8120260348842493,0.7935213939440099,0.792980255907639,0.7568328191653241,0.7753360118722111,0.804851527091711,0.7888631240818339,0.7871602066327728,0.7989653583010543,0.9068202263724017,0.7877553779839165,0.7810339821875388,0.7723532837058007,0.7956535090324958,0.7832499516315817,0.7797943175754658,0.7670373949747133,0.7841143774859347,0.7843324825047935,0.7773540067043785,0.7780414742489814,0.750966959081851,0.7603400253948478,0.8106142900603055,0.7861656499035341,0.7691873632941413,0.7747330665107792,0.7335467222993892,0.7909951747887229,0.7845511500212854,0.7988291374805709,0.8001979430991845,0.7535655303377838,0.7902040226350123,0.7971442759736286,0.7951688488468915,0.7696948692036172,0.7808582457668594,0.7865660684443146,0.8140791288274856,0.7900983814258307,0.7686626001055982,0.7772740642925662,0.7666881127010101,0.7839329935339134,0.7480789175309897,0.8038141576005947,0.7431965884860691,0.7896439420640725,0.7599356963161453,0.7613276348171277,0.7930560133577385,0.7792852340896705,0.7745732691307051,0.7752627083780739,0.7582708402259557,0.7582527085612295,0.7631715455841431,0.7577710575742842,0.7459412844305032,0.7610742944570089,0.7882345551398596,0.7559362873436156,0.7809293673745459,0.7729854981889592,0.735788286314077,0.7519220022750682,0.7615336608832192,0.7549651590186206,0.7721467747136153,0.7716652858374322,0.7515545903594558,0.7743969886564592,0.7794976351793577,0.7473784210553168,0.7767052542674361,0.7813745062284129,0.7558324093317695,0.7781404384872745,0.8691436303184091,0.8136855021716287,0.776932758892639,0.7308485818635179,0.7672240382194419,0.7758308148716059,0.7862553489686371,0.7839329935339134,0.7669425809027537,0.7583453728331825,0.7837953868526842,0.8337308022956482,0.810113653061649,0.7660865417042444,0.7524293111294075,0.7813175283165718,0.7478726648910203,0.7843530462412599,0.7760488403499963
1,预订去北京的火车票,"不完整方法理解,不完整目标理解,情境感知,个性化知识理解,任务调度,长任务,可靠执行,特定语义功能,信息获取,信息处理","[ 0.003793   -0.01680382 -0.02273775 ... -0.00127108 -0.00596765
 -0.00706677]",0.8120260348842493,0.9999999999999999,0.7997833472014171,0.792313228887848,0.7618817195390074,0.7692020551071225,0.7793853171323796,0.7702122342446285,0.7546330005182996,0.8945995855506573,0.8148072520600569,0.7724316902170042,0.7753868693328481,0.7645549967499258,0.7501513484438171,0.7755090640366369,0.7942686607576902,0.7690146251629941,0.7733472289397896,0.7961855606474738,0.7730905857190921,0.7436511838391023,0.7589688666795845,0.7636342017684286,0.8403632969632001,0.832856814482555,0.7502307171490884,0.7667166868254423,0.7362092077734836,0.818053562657285,0.789436893525902,0.7694420372210765,0.8176214737106622,0.7646622992183402,0.8132535144053699,0.7655805151776971,0.7566587699431733,0.7664265123818959,0.7824445289757628,0.7755564953904324,0.783032383036643,0.7560977972996374,0.7617844934867193,0.7563109329267678,0.7629763251118206,0.7686998683419846,0.7580540030400652,0.7772489224169019,0.7129929449730714,0.752952719014035,0.7627900204951973,0.7411817259912498,0.7994769726855526,0.7819782415632057,0.7685252536159287,0.7630719870028065,0.7394342451969882,0.7487854947451907,0.7632823917365744,0.7707348228336494,0.7541914339036827,0.7430774670548906,0.7463608591630726,0.7491434463129558,0.7849563034032143,0.7809220538713879,0.7389583203574617,0.7592444747593412,0.7496454299986565,0.7428907194310322,0.7681782731528843,0.7625672810108919,0.7331964788906558,0.7595532507880686,0.7386939382259026,0.7359248473388132,0.770913259756836,0.7889986824035634,0.7539159032210826,0.7436450052502308,0.7946979655235772,0.8011635030837453,0.7745939047689783,0.7380628400106307,0.769441542385927,0.7874284688908887,0.7757988385023757,0.7686998683419846,0.7519124566893897,0.7710390959014153,0.7693305875999819,0.7697754987406596,0.8154564124096305,0.7773984208347905,0.7455671540162222,0.7791891871775616,0.7444262932891275,0.7939258095195136,0.7705776010452114
2,打开支付宝扫码,"特定执行动作,特定应用功能,特定应用,特定执行器件","[-0.00696194 -0.00476872 -0.00185283 ... -0.00790092  0.02217356
  0.00098342]",0.7935213939440099,0.7997833472014171,1.0,0.8980180813639382,0.7951430682183418,0.8473169418847528,0.7696334362453755,0.7964376407556276,0.8639057543031305,0.7819628247994638,0.7722123733472523,0.7799829502946342,0.8354067360091828,0.7732565421879372,0.7764576178741727,0.8153410774787427,0.8401930564693226,0.7533543015267923,0.7525625752610321,0.7639087397838314,0.804598647006345,0.7866042474739363,0.7663637690179992,0.7594251699444657,0.7759168056703662,0.746523360539081,0.7694458526137933,0.7778305309428835,0.7359948066403956,0.8028016658585363,0.7487119336452143,0.7742304242715188,0.7707167810226689,0.7763118179734374,0.7579956778915783,0.7710705953723556,0.7767789624289941,0.7808782445784709,0.7897360879056119,0.8333293307470193,0.7942063447273608,0.7537623552768202,0.8470530060417216,0.832661198109359,0.8365215925762677,0.7999010270081002,0.7781373155108521,0.7751509173784404,0.7558093285170094,0.7922605438520876,0.7573225710468073,0.7498365270767323,0.8143090263498767,0.7707829212741918,0.7593893141753555,0.7548977776916851,0.7628453143909908,0.7489685837737758,0.7409909203269399,0.7578029161632445,0.7633321620900634,0.7492033323258359,0.7475811941365154,0.7367888906133412,0.7769301479431094,0.7757695629410285,0.7343723195226065,0.765597718747231,0.7550376797408527,0.741303927777964,0.7406746283922422,0.7501074256311016,0.7468263305548511,0.7737511539739284,0.765837514381239,0.747039599632643,0.7601932470641235,0.8383416023001969,0.8118577965869116,0.806134636849847,0.7784989943321114,0.7924931896256764,0.8559735640798466,0.7810392144807806,0.8341986410241041,0.8715422312745184,0.7915971898904901,0.7999010270081002,0.7731580243667822,0.7738387233348956,0.7556221248226459,0.7387338124582823,0.7836815304572223,0.7481167730921965,0.8005912604521941,0.8597142527069656,0.7857266891385356,0.8045181612309635,0.7765130965626289
3,打开相机拍照,"特定执行动作,特定应用功能,特定应用","[-0.0060343  -0.00076837 -0.00883801 ...  0.01053185  0.01902837
 -0.0037121 ]",0.792980255907639,0.792313228887848,0.8980180813639382,1.0,0.8685465418299918,0.8925620363499293,0.7795081660007117,0.7793168642086813,0.9190949520658849,0.760760862960259,0.7773097750048434,0.8432691359997877,0.8747354460828268,0.7776313281354773,0.7651212567201968,0.8098083873109546,0.8440409642800011,0.7860786386172637,0.7650700340346628,0.7813445065222553,0.8475224154737618,0.836981797913334,0.7398616111437238,0.7805837039147632,0.8003990970815643,0.7677349560867381,0.7935195047084506,0.783865382317524,0.7883272866885798,0.7941321196018686,0.7607971820115471,0.7869718845661509,0.7898749038068313,0.7766065705295753,0.7789058697817183,0.7779844264358505,0.8470213285193913,0.7782048365985988,0.7746237126169246,0.9015893768520137,0.7943092487606301,0.764046961247928,0.8529314855085316,0.8380563053545019,0.850491876723917,0.8272036872376322,0.775972559010758,0.7812698839475432,0.7519874697022869,0.8436687703856055,0.7796421836407811,0.7682362717810624,0.8114975211489093,0.7904237459072739,0.7865515129541414,0.7669936195289156,0.7754993328740993,0.7554181896839718,0.7527118723924913,0.7531664157237533,0.7967818376828769,0.7449414500860545,0.7734653595702186,0.7597978296109557,0.7994713031445668,0.7884416307377692,0.7497072749711065,0.7784282885570648,0.7661880937964767,0.7512681271654024,0.7554756126827255,0.7623808090702338,0.7758744412604889,0.8012560621065092,0.7850061824180037,0.7686068496934857,0.7640631660713817,0.8027017285297182,0.820908372950139,0.8283279036468107,0.7965936199918511,0.8093376077153174,0.8807952995247301,0.798820736855896,0.8405483050988354,0.8671766122356076,0.80701226814192,0.8272036872376322,0.7676200504830766,0.791286829179631,0.7657501273152225,0.7608699712461499,0.8069046432221199,0.7783577255037425,0.8223450746483463,0.8778600674454377,0.7908956747926632,0.808544447715309,0.797894042068071
4,【拍照后】将拍到的照片发到社交媒体上,"不完整目标理解,模糊指代理解,特定执行动作,特定应用功能,特定语义功能,信息权限,信息获取,条件判断,信息处理","[-0.03658992  0.00466521  0.01514561 ...  0.01519788 -0.00163348
 -0.01951027]",0.7568328191653241,0.7618817195390074,0.7951430682183418,0.8685465418299918,1.0000000000000002,0.8052039282163215,0.7802479708834194,0.777357904377205,0.8249903836394984,0.7410632036510617,0.7445019131225992,0.8801478120072718,0.810418291350948,0.7674676608231797,0.7500946767242658,0.7408990324508672,0.7887978463636135,0.7860218619063692,0.7445809662208475,0.754403273244909,0.8355577672545518,0.8347610276646868,0.7230777636841891,0.758455699969861,0.7633168425827142,0.7440696019756354,0.7610022360557499,0.7458024748879551,0.7639131827878308,0.779975950803241,0.7469284295471521,0.7638776056670067,0.7566672359582818,0.7647685755555844,0.7493331642295535,0.7644786342051375,0.8178803302579294,0.7872976207031708,0.7665725532288892,0.8381925520781558,0.8058991458412733,0.7541020096573601,0.7916604483826369,0.8006411781526452,0.768906988038299,0.8159461720548475,0.78047478675104,0.7781060642002587,0.7348347738035195,0.8528913339447576,0.775915265303818,0.7485665259377797,0.8000080617732104,0.7902922244941228,0.7734170897373401,0.7576764480112586,0.7637091219054851,0.7249343318870877,0.7399686428989417,0.7212389860743007,0.7773860328538603,0.7272677696488531,0.765046251932385,0.7512246991536795,0.7692146839015063,0.7694974074170874,0.7276628719951111,0.7680175531406301,0.7529894032901215,0.7314321701177906,0.7467041631067283,0.7463308958459202,0.7687191862083111,0.7660095254694183,0.7623177897763851,0.7527158647094855,0.7409342761085991,0.7977448826348679,0.7691431115175237,0.7583411473770386,0.7611297304788888,0.7691627461031036,0.7722047751790286,0.7431387548591741,0.7623857079767339,0.7752956589506722,0.7816473871997737,0.8159461720548475,0.7819918224219854,0.7910016458361722,0.7361773146038316,0.7330540218644027,0.7745052458466419,0.7446300210107965,0.7664573745374346,0.7760489994736112,0.7604398764482087,0.7989826677723014,0.7787620502528546
5,打开腾讯会议并关闭摄像头,"特定执行动作,特定应用功能,特定应用,特定执行器件","[-0.00850045 -0.01361821  0.01088784 ... -0.00208476  0.00461338
 -0.00392742]",0.7753360118722111,0.7692020551071225,0.8473169418847528,0.8925620363499293,0.8052039282163215,1.0000000000000002,0.7595070322678302,0.7509150105396398,0.8899151193059878,0.7731894626140132,0.7504128862335684,0.788798844444457,0.9619774080079828,0.7482892181109327,0.738965278304764,0.7676166373264683,0.8177071289086112,0.7539809280256964,0.7395300207429174,0.7421717517938746,0.7820345358503875,0.7750558035445108,0.7130885521750786,0.7499731217215956,0.7694301710394055,0.7549573563054239,0.7549968140628733,0.7457445837376284,0.7489971330164764,0.767224260357015,0.7293791738200721,0.7494717465282753,0.765909768367303,0.7552974042963438,0.7622864188135212,0.7604677141394925,0.7863557652283268,0.7534256366220761,0.7673331106069198,0.897625426433362,0.7748152371085367,0.7229614886712096,0.8337421802882652,0.7983827727906826,0.8149423721252386,0.8163008164019013,0.7956994300020842,0.7561574245263116,0.7143506702454916,0.7945915709386887,0.7413318383608877,0.7270455188196701,0.7845594315229572,0.7744262379564564,0.7564894143383128,0.7358406337343498,0.7219538369415154,0.7280873941176251,0.7236192777453817,0.7216297523686686,0.7579992554963096,0.7188495426614873,0.7348230323639725,0.7394103419897469,0.7693048203925811,0.7642099955387459,0.7234859488596738,0.7313961014582904,0.7406466944781799,0.7062918409734787,0.7287797302194828,0.7557381808427146,0.7339261780581511,0.7584916446646404,0.741284954123573,0.7150824414735211,0.7289178902066827,0.7859423742766357,0.8146690416732555,0.8083850088637007,0.7674850911542893,0.7846547329634358,0.8112491961751144,0.7863592872989541,0.8100194545816743,0.8284278617886155,0.8053745070420442,0.8163008164019013,0.7522302539930521,0.7672043275356023,0.7520563107904057,0.7436501067081112,0.7673012780370719,0.7361054938947079,0.8210772812415057,0.8150998139040283,0.7953549369980532,0.7972116660525419,0.764595726513928
6,在互联网上查找并收集关于游泳世锦赛的信息,"自主寻找,信息获取,条件判断,信息处理,信息存储与提取,通用","[-0.01359725  0.0107994   0.01600312 ... -0.00236533  0.00057866
 -0.0149759 ]",0.804851527091711,0.7793853171323796,0.7696334362453755,0.7795081660007117,0.7802479708834194,0.7595070322678302,1.0,0.8024479982013013,0.7560591021272131,0.7642997783084725,0.7942470581619956,0.7688616081077577,0.7669842632664,0.8443520838753382,0.8141667392998151,0.8006288853679188,0.7544032418624914,0.7594523217738536,0.8389729855356826,0.7740820475181435,0.7738247353345132,0.7582755206229503,0.7162729428128608,0.7398781054770733,0.7979050929747282,0.7734509269101935,0.7705506065390364,0.8034400536540892,0.7522475389044317,0.7778701200725544,0.7753706666853132,0.8190517910116861,0.7830368203558618,0.7775086688702132,0.7744272627294646,0.8432373065689504,0.7569289607851283,0.7861288333743535,0.7786824671651925,0.7717554825856952,0.808857884391334,0.7709801582070152,0.7749615652197052,0.7991063433056527,0.7543091457157869,0.7834819740313806,0.753249671570007,0.8122845836780282,0.7538550410349203,0.7702021708796529,0.7312916857559721,0.8014335192743215,0.789415624247441,0.768663397315801,0.7467881712451832,0.7652337806957513,0.7570047070758429,0.7370823783149788,0.7756625740330414,0.7548272043228929,0.7379485017262611,0.750617518060269,0.7496060705771883,0.7371612630041325,0.7669898347459689,0.7612879434640933,0.754600396257224,0.7506208875752319,0.7581547489551366,0.7814425940469139,0.7818143178146896,0.8170332917916474,0.7396350993553135,0.773483798288856,0.7386091251323191,0.7193326017890833,0.789441719547609,0.7700759702663119,0.7356375437657356,0.7740991451234436,0.8025124827176222,0.803898403751609,0.7769659022200208,0.7434864071605162,0.7554923428778358,0.7847952716625352,0.8027088392011155,0.7834819740313806,0.7918665617490296,0.7594992020493722,0.7771662614853364,0.7547474932693538,0.7868154812609616,0.7555128130527576,0.761090189762876,0.788706835572715,0.7725298271427302,0.7624810591865812,0.7685027478952166
7,【在使用闲鱼浏览某商品时】对比市场价格,"特定应用,自主寻找,信息获取,信息运算,条件判断,偏好分析,信息分析,信息处理","[-0.01338104 -0.00668005  0.00802025 ... -0.00342553  0.0052875
 -0.00972342]",0.7888631240818339,0.7702122342446285,0.7964376407556276,0.7793168642086813,0.777357904377205,0.7509150105396398,0.8024479982013013,1.0,0.7576956488753803,0.769968182178601,0.7600347946928309,0.7602918327417746,0.7497326214833475,0.7517385724622002,0.786335332941992,0.8547093472872113,0.7437076874325373,0.732591082115049,0.7507246224051476,0.7433815944312003,0.8046014914894835,0.7951087735316865,0.7462320285204407,0.7190134814149619,0.7636711571628364,0.7369910606712202,0.7509151909522561,0.7585333425034451,0.734187196178358,0.8103271762093356,0.7441116299291415,0.7709805000692607,0.7605229515240485,0.8490388246636754,0.7574545083694537,0.7804025638313011,0.7467888078747361,0.8586453236528548,0.8179575175191582,0.7558361398715043,0.7874777507202224,0.7468997552538,0.7803938457607494,0.778224802022765,0.7551343746919155,0.7845449105107964,0.756150509464727,0.7782402383361097,0.7149391782319324,0.7688904333965234,0.7296525989506536,0.7484241932249118,0.7805693120138918,0.7806774426662882,0.7338034725842699,0.7359671589902164,0.7712364303979571,0.7445993863889292,0.7283704898772639,0.7564668378778784,0.7506939796337095,0.7452025534376415,0.7385172548730375,0.7305659931933696,0.7499442867722583,0.754768786809872,0.7257075180373792,0.7760498963996966,0.7385320897542781,0.7243785050939378,0.7381588503338294,0.7691635942250192,0.7442941115599303,0.7560239282677345,0.7344096163894552,0.7338047232866749,0.7821253571027953,0.7954131134182896,0.7464291485563649,0.7598032805986292,0.770946482502221,0.759552458042811,0.7632563411969635,0.728020325579831,0.7739791849602186,0.786112733820995,0.7742116577768651,0.7845449105107964,0.7366142890851317,0.7476194668374194,0.7463253311974788,0.7496948586331716,0.7577187117394879,0.7628475629051481,0.7522714230856667,0.773820332430166,0.7558320860478899,0.7620363876073432,0.7675103193012279
8,打开摄像头并开启美颜功能,"特定执行动作,特定应用功能,特定执行器件,特定语义功能","[-0.01044897 -0.00162556 -0.00374892 ...  0.01896512 -0.00295925
 -0.00385269]",0.7871602066327728,0.7546330005182996,0.8639057543031305,0.9190949520658849,0.8249903836394984,0.8899151193059878,0.7560591021272131,0.7576956488753803,1.0,0.7386490678715735,0.7559330502446839,0.8045146470463372,0.869476002177285,0.7397153800001616,0.7466821480689113,0.7737607741868325,0.8308653221204909,0.7515751441184412,0.7320143680450696,0.7364072222890028,0.8038852069983283,0.8290258280609546,0.727368484005276,0.7529503076075992,0.7667706482700871,0.7313466263178343,0.7492426230582196,0.7488745041739198,0.7574140013360766,0.7670069391431429,0.7209674966950708,0.7458968788277908,0.7574374951506964,0.7369349986081946,0.7517367592470963,0.7490194623153741,0.8284048334507095,0.751078479702594,0.7396590520761118,0.8847486658952777,0.7784092092574884,0.7488937233476154,0.8391073250757656,0.8191458408966983,0.8300838118703633,0.8236014473625954,0.7732091299653197,0.7610099736628119,0.7425112527964345,0.8377986903861623,0.7604652476604059,0.7370280412060505,0.7873225450853419,0.767236931674436,0.7559650840797626,0.7499161658217597,0.7450031727787298,0.7282494401836398,0.7232597398613662,0.7382079480182271,0.766021514981367,0.7182347283890506,0.7410072404169622,0.7245303884342187,0.7660578409818806,0.7734037417815438,0.7212184125720688,0.7460249868347296,0.7630774495078132,0.7154988621149972,0.735297909452077,0.7510722208676966,0.7517505422242579,0.7665048874955185,0.7532822744945556,0.7569511132766048,0.7447744767912375,0.7913115198771854,0.8089015543042112,0.8165287822203965,0.7852766047029065,0.7858506908367968,0.8351408529731076,0.769132715751767,0.8368735195284508,0.8321056416036708,0.7936741099315073,0.8236014473625954,0.7527013127788527,0.7588563200183497,0.7541320599562353,0.735048365386977,0.7746711378808737,0.744133275889337,0.8138405812489368,0.8345829831371017,0.7804871288067932,0.7915357868760668,0.7720659242635219
9,帮我预定一下从北京市前往天津市的耗时最短的高铁二等座，如果在其他票务平台有优惠券可以使用的话请一并使用,"不完整方法理解,不完整目标理解,模糊范围程度理解,模糊表达理解,情境感知,语义揣测,高级智能理解,隐性步骤提取,任务调度,特定执行动作,复杂任务,特定应用功能,特定应用,特定语义功能,信息权限,信息获取,信息运算,条件判断,信息分析,信息处理","[-1.38552934e-02 -6.52574794e-03 -1.75881851e-02 ...  4.58777789e-03
 -1.03710347e-03 -8.36579784e-05]",0.7989653583010543,0.8945995855506573,0.7819628247994638,0.760760862960259,0.7410632036510617,0.7731894626140132,0.7642997783084725,0.769968182178601,0.7386490678715735,0.9999999999999998,0.8138881564303464,0.7592834020740209,0.7789653976706524,0.7691784870376464,0.7498833631376212,0.7547863582698495,0.777898931000438,0.7439065943342814,0.7845056726757509,0.8083746899231233,0.7824756765166735,0.7382347042261428,0.730176926841654,0.762404599788099,0.8387731936816721,0.8437644574676693,0.7551407154100083,0.7572487502680411,0.7375928899460535,0.8021366411052542,0.7975864285713645,0.7795377272318823,0.8300300064199851,0.7805732422111459,0.8293626565381297,0.7786182670889109,0.752657998467729,0.7779650140326176,0.8100895511461305,0.7768156299975556,0.761190249117875,0.7555532902302871,0.7572720419950719,0.7379220685334674,0.7534924180555455,0.7502563978184039,0.7474596863245885,0.7793245066729211,0.7223287337392356,0.7582290911912802,0.7642322819048968,0.7494585580664151,0.8079732034803196,0.7867862417896315,0.7627504710309682,0.7715517747712896,0.7522099171843263,0.744699631312984,0.7679563245418286,0.7800069754808132,0.7257823161625253,0.7631949790540292,0.7535198033147024,0.7476069289840169,0.7966561192056676,0.7761512784842365,0.7353362186048505,0.76149372926401,0.7668206584376547,0.7572914341317089,0.7637183118753527,0.7740922003192858,0.740962310444758,0.7731929071137879,0.7646497179198375,0.7419973270422745,0.778565725317401,0.7828605420318955,0.727899407770501,0.7487226751609775,0.7856039309322275,0.7828497515609962,0.7456051376076026,0.7079226681064107,0.7490279369927466,0.7618195139929737,0.7617294289709745,0.7502563978184039,0.7650591137992976,0.7934782039470879,0.816617606496322,0.7751316614968077,0.8034476594537885,0.761104073963895,0.7535983117964358,0.7573042536920139,0.7361568885294959,0.7859421760765953,0.771350789741061
