把那张在海边的照片设为我的桌面壁纸。,能够稳定,拍一张照片然后发在我的朋友圈。,3,6,[{'option': 'option4', 'expression': ['操作\n                                    ']}, {'option': 'custom', 'expression': ['样例为“信息”提取模糊表达的照片+“操作”设为壁纸；实例为“操作”调用相机+“多任务调度”调用微信并多步骤发布朋友圈']}]
打开导航，我要去最近的咖啡店。,不能正确,马上给我预定最近的餐厅。,4,6,[{'option': 'option4', 'expression': ['领域\n                                    ']}]
给老板发条消息，告诉他我今天休息。,不能正确,我身体不舒服，给老师发个邮件请假,2,1,[{'option': 'custom', 'expression': ['休息和请假的措辞是很难做到的']}]
把这个地址发送给我司机。,能够稳定,帮我记录一下停车位置。,3,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '强于']}]
问问学长有没有英语课推荐,能够稳定,上课前帮我登录下雨课堂,3,3,[{'option': 'option3', 'expression': ['领域\n                                    ']}]
闹钟声开大点,能够稳定,开启手机的深色模式,5,6,[{'option': 'option1', 'expression': ['领域\n                                    ', '强于']}]
能帮我规划下记事本中列的待办事项吗,不能正确,帮我整理下昨天的课堂笔记,3,1,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
给我刚看的视频点个赞,不能正确,给每条集赞朋友圈点个赞,2,1,[{'option': 'option4', 'expression': ['智能\n                                    ']}]
提醒我30分钟后去拿洗衣服。,不能正确,提醒我10分钟后去学习,5,1,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
总结一下群里的新文档的内容,能够稳定,帮我给群里每个男生发这个文件,5,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
帮我记录一下停车位置。,能够稳定,帮我查找最近的公交车站。,5,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
看看我同学游戏是否在线,不能正确,上课前帮我登录下雨课堂,3,1,[{'option': 'option4', 'expression': ['领域\n                                    ']}]
开启语音输入，我要发微信消息。,能够稳定,翻译这段英文短信。,6,7,[{'option': 'option1', 'expression': ['智能\n                                    ', '强于']}]
顺便提醒我在饭后服药。,能够稳定,提醒我30分钟后去拿洗衣服。,6,7,[{'option': 'option1', 'expression': ['操作\n                                    ', '强于']}]
现在我朋友圈集了多少赞了,能够稳定,给每条集赞朋友圈点个赞,3,4,[{'option': 'option4', 'expression': ['高级智能理解\n                                    ']}]
调静音,能够稳定,打开蓝牙耳机的噪声消除功能,4,6,[{'option': 'option1', 'expression': ['操作\n                                    ', '弱于']}]
帮我查找最近的公交车站。,能够稳定,小王发新朋友圈了吗,3,3,[{'option': 'option4', 'expression': ['隐性步骤提取']}]
我昨天吃饭花了多少钱？,能够稳定,我上周玩了多久的手机？,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
搜一下我昨天看的那个电影的评价。,能够稳定,找出我上次看的那篇新闻。,3,4,[{'option': 'option1', 'expression': ['隐性步骤提取', '接近']}]
播放我最喜欢的播客节目。,不能正确,播放睡前音乐。,5,3,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
给每条集赞朋友圈点个赞,能够稳定,现在我朋友圈集了多少赞了,5,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '强于']}]
下单我购物车中的所有东西,能够稳定,在我的便签里添加购物清单。,4,7,[{'option': 'option1', 'expression': ['操作\n                                    ', '强于']}]
现在我朋友圈集了多少赞了,能够稳定,给每条集赞朋友圈点个赞,3,4,[{'option': 'option2', 'expression': ['构建循环', '强于', '信息\n                                    ']}]
那天和小王的聊天记录发给我。,能够稳定,昨天那个会议的录音发给我，我要重听一下。,5,7,[{'option': 'option1', 'expression': ['操作\n                                    ', '强于']}]
开始计时我做的运动。,不能正确,看看我今天步数走到哪了？,5,2,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
搜一下我昨天看的那个电影的评价。,能够稳定,搜一下最近的电影票优惠。,5,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
我的电子书读到哪了？,能够稳定,我的电子邮件里有没有未读的邮件？,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
给每条集赞朋友圈点个赞,能够稳定,现在我朋友圈集了多少赞了,5,6,[{'option': 'option1', 'expression': ['构建循环', '强于']}]
帮我找一下最近的公厕,能够稳定,找一下最近的加油站。,5,7,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
通知我今天下午3点的会议。,能够稳定,提醒我开启待会的会议的录屏,4,4,[{'option': 'option1', 'expression': ['操作\n                                    ', '强于']}]
告诉我家里的智能电视还在播放吗？,不能正确,在我出家门后把智能家居关了,5,1,[{'option': 'option2', 'expression': ['信息\n                                    ', '弱于', '操作\n                                    ']}]
帮我给群里每个男生发这个文件,能够稳定,帮我艾特一下群里每个女生,5,7,[{'option': 'option1', 'expression': ['构建循环', '接近']}]
查一下最近有什么好玩的手机游戏。,不能正确,给我推荐一款运动健身应用。,5,2,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
查一下最近有什么好玩的手机游戏。,不能正确,给我推荐一款运动健身应用。,5,2,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
呼叫最近联系过的五个人。,不能正确,翻译这段英文短信。,6,5,[{'option': 'option2', 'expression': ['操作\n                                    ', '弱于', '智能\n                                    ']}]
今天会下雨嘛？,能够稳定,后天天气咋样？,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
打开无障碍,能够稳定,开启无障碍模式。,4,7,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
后天天气咋样？,能够稳定,今天会下雨嘛？,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
把这段话转发到我所有的社交平台。,能够稳定,把我现在听的这首歌分享到朋友圈。,5,7,[{'option': 'option2', 'expression': ['构建循环', '强于', '操作\n                                    ']}]
帮我记录一下停车位置。,能够稳定,帮我查找最近的公交车站。,4,5,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
提醒我10分钟后去学习,能够稳定,提醒我30分钟后去拿洗衣服。,5,6,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
把我现在听的这首歌分享到朋友圈。,能够稳定,把这首歌添加到我的播放列表。,5,6,[{'option': 'option2', 'expression': ['多任务调度', '强于', '操作\n                                    ']}]
总结一下群里的新文档的内容,能够稳定,帮我整理下昨天的课堂笔记,3,6,[{'option': 'option1', 'expression': ['智能\n                                    ', '接近']}]
看一下我最近的银行账户余额。,能够稳定,算一下我这个月网购花了多少钱？,4,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
拍一张照片然后发在我的朋友圈。,不能正确,新建个相簿存昨天聚会的照片,4,3,[{'option': 'option2', 'expression': ['操作\n                                    ', '接近', '操作\n                                    ']}]
我的电子书读到哪了？,能够稳定,我的手机电量还有多少？,5,4,[{'option': 'option2', 'expression': ['信息\n                                    ', '接近', '信息\n                                    ']}]
上课前帮我登录下雨课堂,能够稳定,提醒我10分钟后去学习,5,7,[{'option': 'option2', 'expression': ['智能\n                                    ', '强于', '信息\n                                    ']}]
在滴滴上叫一辆车来公司。,不能正确,把这个地址发送给我司机。,5,2,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
播放跑步歌单,不能正确,在有wifi的时候下载那个歌单,5,3,[{'option': 'option2', 'expression': ['操作\n                                    ', '弱于', '设置条件触发']}]
我明天的日程安排是什么？,能够稳定,找一下明天的天气预报。,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
帮我记录一下停车位置。,不能正确,帮我查找最近的公交车站。,5,2,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
给老板发条消息，告诉他我今天休息。,不能正确,我身体不舒服，给老师发个邮件请假,3,1,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
找一下我昨晚发的那条朋友圈，看看有没有新的评论。,能够稳定,找出我上次看的那篇新闻。,5,6,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
在豆瓣上给某本书打三颗星,不能正确,搜一下我昨天看的那个电影的评价。,4,4,[{'option': 'option2', 'expression': ['操作\n                                    ', '接近', '信息\n                                    ']}]
我现在在哪个位置？,不能正确,看看我今天步数走到哪了？,5,3,[{'option': 'option1', 'expression': ['信息\n                                    ', '接近']}]
那天和小王的聊天记录发给我。,能够稳定,昨天那个会议的录音发给我，我要重听一下。,5,6,[{'option': 'option1', 'expression': ['操作\n                                    ', '接近']}]
领取支付宝中的所有学生优惠,不能正确,下单我购物车中的所有东西,3,6,[{'option': 'option1', 'expression': ['构建循环', '接近']}]
为我找出一条去机场的最快路线。,不能正确,打开导航，我要去最近的咖啡店。,5,3,[{'option': 'option1', 'expression': ['操作\n                                    ', '强于']}]
