expression,annotation
查询天气预报及穿衣指数,"不完整目标理解,特定语义功能,自主寻找,信息获取,信息处理,信息存储与提取"
预订去北京的火车票,"不完整方法理解,不完整目标理解,情境感知,个性化知识理解,任务调度,长任务,可靠执行,特定语义功能,信息获取,信息处理"
打开支付宝扫码,"特定执行动作,特定应用功能,特定应用,特定执行器件"
打开相机拍照,"特定执行动作,特定应用功能,特定应用"
【拍照后】将拍到的照片发到社交媒体上,"不完整目标理解,模糊指代理解,特定执行动作,特定应用功能,特定语义功能,信息权限,信息获取,条件判断,信息处理"
打开腾讯会议并关闭摄像头,"特定执行动作,特定应用功能,特定应用,特定执行器件"
在互联网上查找并收集关于游泳世锦赛的信息,"自主寻找,信息获取,条件判断,信息处理,信息存储与提取,通用"
【在使用闲鱼浏览某商品时】对比市场价格,"特定应用,自主寻找,信息获取,信息运算,条件判断,偏好分析,信息分析,信息处理"
打开摄像头并开启美颜功能,"特定执行动作,特定应用功能,特定执行器件,特定语义功能"
帮我预定一下从北京市前往天津市的耗时最短的高铁二等座，如果在其他票务平台有优惠券可以使用的话请一并使用,"不完整方法理解,不完整目标理解,模糊范围程度理解,模糊表达理解,情境感知,语义揣测,高级智能理解,隐性步骤提取,任务调度,特定执行动作,复杂任务,特定应用功能,特定应用,特定语义功能,信息权限,信息获取,信息运算,条件判断,信息分析,信息处理"
帮我查询一下北京市7月21日的天气预报以及紫外线指数和穿衣指数,"长任务,特定语义功能,自主寻找,信息获取,条件判断,信息处理"
把今天拍的照片发朋友圈，加上文案,"模糊指代理解,特定执行动作,特定应用功能,特定应用,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,生成"
打开腾讯会议，加入主题团日会议，关闭摄像头,"特定执行动作,长任务,特定应用功能,特定应用,特定语义功能,条件判断"
帮我收集一下网上蔡徐坤的信息,"自主寻找,信息获取,条件判断,信息存储与提取"
分析一下网页信息的可信度,"信息权限,信息获取,偏好分析,信息分析,信息处理,识别与理解"
打开闲鱼搜索哈登6的价格,"特定应用功能,特定应用,特定语义功能,信息获取,信息处理,信息存储与提取"
打开微信和王小明说我出发了,"口语化表达理解,隐性步骤提取,特定应用功能,特定应用,特定语义功能"
在相亲相爱一家人群聊中说祝大家元旦快乐,"不完整目标理解,情境感知,特定执行动作,特定应用功能,特定应用,特定语义功能"
帮我搜集一下关于中东问题的相关信息,"不完整方法理解,自主寻找,信息获取,信息分析,信息存储与提取"
帮我做一份新疆七日游的旅行攻略,"情境感知,个性化知识理解,高级智能理解,任务调度,自主寻找,信息权限,信息获取,信息处理,信息存储与提取,通用,生成,智能"
【浏览照片时】帮我P一下这张图,"情境感知,特定应用功能,自主寻找,信息权限,信息获取,信息处理,识别与理解,专业"
【在照片编辑页面】曝光和饱和度调高一点,"情境感知,个性化知识理解,高级智能理解,特定应用功能,特定应用,特定语义功能,专业"
本月花呗账单是多少,"特定应用功能,信息权限,信息获取,信息运算"
和王小明说一下我手头有点事，晚点到,"不完整方法理解,不完整目标理解,模糊表达理解,特殊语序理解,句子成分缺失理解,口语化表达理解,个性化知识理解"
帮忙规划旅行路线,"不完整目标理解,情境感知,个性化知识理解,高级智能理解,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,自主寻找,信息获取,信息分析,信息处理,信息存储与提取,通用,专业,生成,智能"
帮忙做去南京两日游的日程规划,"情境感知,个性化知识理解,任务调度,可靠执行,特定语义功能,信息获取,条件判断,信息分析,信息处理,信息存储与提取,通用,生成"
