expression,annotation
我想吃便宜好吃的云南菜,"模糊范围程度理解,缺失限定语理解,个性化知识理解,特定应用功能,特定语义功能,自主寻找,条件判断,偏好分析,信息存储与提取"
帮我设置明天的闹钟,"不确定目标理解,个性化知识理解,隐性步骤提取,可靠执行,特定语义功能,信息获取,条件判断"
请帮我写一段代码，主要功能是：构建平衡二叉树，代码语言是：c++,"特定语义功能,信息处理,专业,生成"
闹钟定到明天早上7：50，如果我没醒的话，就别管我了，9：30再叫我一次就行,"抗冗余表达干扰,复杂逻辑理解,个性化知识理解,设置条件触发,任务调度,复杂任务,特定语义功能,信息获取,条件判断,信息存储与提取"
请帮我协调其他人的时间，并安排会议,"个性化知识理解,隐性步骤提取,任务调度,信息权限,条件判断,信息存储与提取,通用"
帮我根据现有财产制订投资计划,"个性化知识理解,复杂任务,特定语义功能,自主寻找,信息权限,信息运算,条件判断,信息处理,专业,生成"
添加我的生日到日历,"不确定目标理解,个性化知识理解,隐性步骤提取,特定应用功能,信息权限,信息处理,信息存储与提取"
请帮我写一篇关于密码学的文献综述，2000-3000字左右，要求涵盖近五年来这一领域的主要进展，并且包括必要的梳理、对比和讨论,"大信息量理解,情境感知,自主寻找,条件判断,信息处理,信息存储与提取,通用,专业,生成"
导航至那家上市的创业公司,"定冠词指代理解,缺失限定语理解,模糊表达理解,特定语义功能,自主寻找,条件判断"
帮我更新手机上所有待更新的软件,"构建循环,特定应用功能,特定语义功能,信息权限"
播放追娘娘视频,"不确定方法理解,特定执行动作,特定语义功能,自主寻找,条件判断"
帮我整理一下微信新消息都是哪些人发来的,"隐性步骤提取,特定应用,信息获取,信息处理,信息存储与提取"
请帮我将以下内容翻译成英语，注意信达雅：“xxx”,"语序语气理解,抗冗余表达干扰,特定语义功能,信息获取,信息分析,通用,专业"
播放放松的歌单,"模糊指代理解,口语化表达理解,情境感知,特定执行动作,特定应用功能,特定语义功能,自主寻找,偏好分析"
帮我启动一下扫地机器人,"特定执行器件,特定语义功能"
查询天气预报及穿衣指数,"不确定目标理解,特定语义功能,自主寻找,信息处理,信息存储与提取"
查找电路原理第一章学习资料,"特定语义功能,自主寻找,专业"
查询附近的美食,"不确定方法理解,不确定目标理解,模糊范围程度理解,情境感知,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取"
今天中午想吃麻婆豆腐,"不确定方法理解,不确定目标理解,模糊范围程度理解,情境感知,特定语义功能,自主寻找,条件判断,信息存储与提取"
查找附近的宠物商店,"模糊范围程度理解,特定应用功能,特定语义功能,自主寻找,条件判断"
念一下我感兴趣的消息,"不确定目标理解,口语化表达理解,情境感知,自主寻找,偏好分析,信息处理,信息存储与提取"
发信息给钱小敏，告诉他我马上就到,"不确定方法理解,口语化表达理解,特定执行动作,特定应用功能,特定语义功能"
请帮我做好日程规划,"不确定方法理解,缺失限定语理解,情境感知,个性化知识理解,特定语义功能,信息获取,信息处理,信息存储与提取,通用"
帮我在室友群问一下他们晚上的安排,"不确定方法理解,不确定目标理解,个性化知识理解,特定执行动作,特定应用功能,特定语义功能,信息获取,条件判断,通用,生成"
帮我在小红书中搜索先农坛的关键词并展示结果,"特定执行动作,特定应用功能,特定语义功能,自主寻找,信息权限,信息分析,信息存储与提取"
DSA课程的ddl是6月29日（表达后自动加入日程）,"不确定目标理解,语义揣测,特定应用功能,特定语义功能,信息分析,信息存储与提取"
请帮我给微信好友车车回复以下信息“好的收到”,"别名理解,抗冗余表达干扰,特定应用功能,信息获取,信息处理,信息存储与提取"
假如你是苏轼，请写一篇议论文来阐述你的人生观,"虚拟语气理解,通用,生成"
拿快递并且拆了,"不确定目标理解,隐性步骤提取,任务调度,特定执行动作,特定语义功能,识别与理解"
我想写一篇关于不确定理论的论文，有哪些角度可以展开,"个性化知识理解,信息获取,条件判断,专业,生成"
你是一个公共管理硕士生，请帮我列出最新的文献,"不确定方法理解,虚拟语气理解,特定应用功能,自主寻找,信息处理,信息存储与提取,通用,专业"
预约明天的门诊号,"不确定目标理解,口语化表达理解,个性化知识理解,特定应用功能,自主寻找,信息处理"
去群里约一下20点飞盘局,"不确定目标理解,模糊指代理解,语序语气理解,句子成分缺失理解,个性化知识理解,隐性步骤提取,任务调度,特定应用功能,信息获取,条件判断,生成"
请帮我调研一下有哪些课题组正在做事件验证法相关的内容,"长任务,自主寻找,信息分析,信息存储与提取,通用,专业"
请帮我打开歌曲《想去海边》,"不确定方法理解,非常规表达理解,特定执行动作,特定应用功能,特定语义功能,自主寻找"
小爱同学，播放歌曲,"语序语气理解,特定执行动作,特定语义功能,偏好分析"
打开微信读书,特定应用
帮我设定早上9点的行程，前往实验室,"不确定目标理解,语序语气理解,特定应用功能,特定语义功能,信息处理,信息存储与提取"
今晚有EDG的游戏实况直播吗,"口语化表达理解,自主寻找,条件判断"
请以商务纠纷为关键词做一篇类案检索和案例分析,"特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取,识别与理解,通用,专业,生成"
帮我看看有哪些任务的紧急程度最高,"不确定目标理解,定冠词指代理解,自主寻找,条件判断,信息处理,通用"
帮我在乒乓球友群里问一声有没有人去打乒乓球,"不确定方法理解,别名理解,语序语气理解,抗冗余表达干扰,任务调度,特定应用功能,特定语义功能,信息获取,信息处理"
甄嬛传电视剧上次看到哪了，接着播放,"不确定方法理解,口语化表达理解,特定执行动作,特定语义功能,自主寻找,条件判断,信息存储与提取"
小元刚刚给我发什么微信消息了,"别名理解,个性化知识理解,特定应用功能,自主寻找,信息权限,设备联通"
如果你是一名研究员，请提供最近5年关于股份回购的相关文献及典型案例,"虚拟语气理解,隐性步骤提取,自主寻找,信息分析,信息存储与提取,通用,专业"
下周二有个中期汇报，帮我设定一下行程安排规划，并且提醒我,"语序语气理解,复杂逻辑理解,情境感知,个性化知识理解,设置条件触发,隐性步骤提取,任务调度,信息获取,条件判断,信息存储与提取,通用"
看看最近去哪里比较便宜,"模糊范围程度理解,口语化表达理解,个性化知识理解,自主寻找,条件判断,信息存储与提取"
【在做高数作业】这道题怎么做,"定冠词指代理解,情境感知,专业,生成"
当我开始出现工作疲劳时提醒我休息一下,"情境感知,设置条件触发,可靠执行,特定应用功能,特定语义功能,设备联通,条件判断,信息存储与提取,通用"
开启有声书功能,"特定应用功能,特定语义功能"
我要睡觉了（拉窗帘、关灯）,"不确定目标理解,情境感知,个性化知识理解,语义揣测,特定执行动作,特定语义功能"
帮我收集一下网上蔡徐坤的信息,"自主寻找,条件判断,信息存储与提取"
请帮我查询“社会心理学”的最新专业术语,"特定语义功能,自主寻找,信息权限,信息运算,条件判断,信息处理,信息存储与提取,通用,专业"
天猫精灵，请打开空调,"口语化表达理解,特定执行动作,特定语义功能"
帮我做个去东南亚的旅行规划，顺便刷一下南航的会员等级,"不确定方法理解,不确定目标理解,口语化表达理解,个性化知识理解,隐性步骤提取,任务调度,特定应用功能,特定语义功能,信息权限,条件判断,偏好分析,信息处理,信息存储与提取,通用,生成"
播放一个摇滚乐的歌单,"不确定方法理解,特定执行动作,特定语义功能,信息获取,条件判断"
换一首歌,"特定执行动作,特定应用功能,特定语义功能,偏好分析"
我想吃川菜（给出推荐餐馆）,"不确定目标理解,情境感知,语义揣测,特定语义功能,信息权限,条件判断"
我需要在2023-12-13做进行组会的事情，请记录并整理日程,"不确定方法理解,情境感知,个性化知识理解,任务调度,特定执行动作,特定应用功能,信息权限,条件判断,信息存储与提取"
定个明天早上的闹钟,"不确定目标理解,模糊范围程度理解,句子成分缺失理解,个性化知识理解,特定应用功能,设备联通"
查一下附近的景点,"不确定方法理解,情境感知,个性化知识理解,特定语义功能,自主寻找,条件判断"
播放《Halo》歌曲,"模糊指代理解,特定执行动作,特定应用功能,特定语义功能,信息获取,信息处理"
我正在学习量子力学，请根据我的学习进度和理解情况，制定一个个性化的学习计划,"抗冗余表达干扰,情境感知,个性化知识理解,信息获取,条件判断,偏好分析,信息存储与提取,识别与理解,专业,生成"
请帮我翻译以下这篇文章,"定冠词指代理解,信息获取,信息分析,信息存储与提取,识别与理解,通用"
请帮我预定我下一个月出游的机票和酒店,"不确定方法理解,不确定目标理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,复杂任务,特定语义功能,信息权限,信息处理,信息存储与提取,通用"
明天早上我要在八点前起床（定闹钟）,"不确定方法理解,语义揣测,设置条件触发,特定应用功能,条件判断"
请帮我找我今晚想看的电影，要求是公路旅行电影，帮我下好4k的片源,"个性化知识理解,特定执行动作,特定语义功能,自主寻找,信息权限,信息运算,条件判断,偏好分析,信息处理,信息存储与提取"
推荐评分超过9的惊悚电影，并附上网址,"不确定方法理解,缺失限定语理解,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取"
请以强化学习为关键词搜索并按照重要程度顺序排序,"不确定目标理解,口语化表达理解,情境感知,理解,隐性步骤提取,任务调度,长任务,复杂任务,特定语义功能,自主寻找,信息权限,信息运算,条件判断,偏好分析,信息处理,信息存储与提取,专业,执行"
请帮我设置明天早上10点的闹钟,"不确定方法理解,特定应用功能,信息获取,条件判断"
播放搞笑视频,"特定应用,特定语义功能,信息获取,条件判断,偏好分析"
提示网购平台低价折扣并在授权金额范围内抢单支付,"模糊范围程度理解,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息权限,信息运算,条件判断,偏好分析,信息处理,信息存储与提取"
提醒我下午四点我要抢票,"模糊范围程度理解,口语化表达理解,设置条件触发,特定应用功能,特定语义功能,条件判断,信息存储与提取"
【判生物作业时】帮我检查一下这道题目的正确性,"定冠词指代理解,情境感知,信息获取,信息分析,专业"
打开中央三台,"不确定方法理解,特定执行动作,特定语义功能"
请帮我把我的日程安排导出来并在相应时间提醒我,"不确定方法理解,设置条件触发,任务调度,复杂任务,特定应用功能,特定语义功能,信息权限,信息处理,信息存储与提取,生成"
请帮我对信息内容进行优先级排序,"模糊指代理解,信息运算,条件判断,偏好分析,信息处理"
帮我找一下之前备课的文件,"不确定目标理解,模糊指代理解,自主寻找,信息权限,条件判断,信息存储与提取"
这是一组数据，请问你观察到了什么有价值的信息,"不确定目标理解,定冠词指代理解,信息获取,条件判断,偏好分析,信息处理,通用,专业"
如何提升麻将水平,"个性化知识理解,自主寻找,条件判断,信息处理,信息存储与提取,生成"
请提醒我该睡觉了，不要熬夜,"语序语气理解,抗冗余表达干扰,情境感知,语义揣测,设置条件触发,特定执行动作,可靠执行,特定应用功能,通用,情感,生成"
音量调大,"不确定目标理解,模糊范围程度理解,口语化表达理解,特定执行动作"
推荐5位有趣的博主,"不确定目标理解,自主寻找,信息运算,偏好分析,通用"
我不想听这个，下一个,"不确定目标理解,抗冗余表达干扰,情境感知,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息获取,信息处理"
到清华大学（导航）,"不确定方法理解,语义揣测,自主寻找,信息处理,通用"
